"CHR" "POPNAME" "H_E_VARSITES" "H_E_ALLSITES" "H_E_UNBIASED_VARSITES" "H_E_UNBIASED_ALLSITES" "NOVAR_IN_POP" "N_TOT_IN_POP"
"X" "DaiChinese" "0.332497322796559" "0.000348852750121158" "0.374059488146129" "0.000392459343886302" "141432150" "141580695"
"X" "Karitiana" "0.375783913301483" "0.000241806569050963" "0.438414565518397" "0.00028210766389279" "141274854" "141365819"
"X" "Papuan" "0.346240064325808" "0.00029868684485097" "0.395702930658066" "0.000341356394115394" "141341866" "141463901"
"X" "French" "0.387324613925133" "0.000351674703187064" "0.484155767406417" "0.00043959337898383" "141510019" "141638621"
"X" "CEU" "0.444444444444444" "0.000294082262973672" "0.666666666666667" "0.000441123394460508" "143971694" "144067021"
"X" "Coloured" "0.322089928939434" "0.000613439283361508" "0.368102775930782" "0.000701073466698866" "143218195" "143491483"
"X" "SothoSpeakers" "0.335008383413648" "0.000661415623137864" "0.390843113982589" "0.000771651560327508" "143225924" "143509258"
"X" "XhosaSpeakers" "0.31667045136948" "0.000664833368727896" "0.361909087279406" "0.000759809564260452" "142857030" "143157582"
"X" "Juhoansi_comp_noHGDP" "0.444444444444444" "0.000482452611253725" "0.666666666666667" "0.000723678916880587" "143528376" "143684348"
"X" "Dinka_noHGDP" "0.444444444444444" "0.000465204557357732" "0.666666666666667" "0.000697806836036597" "143551245" "143701659"
"X" "French_noHGDP" "0.409810437681655" "0.000333166933889163" "0.546413916908873" "0.000444222578518883" "143773725" "143890705"
"X" "Papuan_noHGDP" "0.360237289802223" "0.00029825588574246" "0.420276838102593" "0.00034796520003287" "143768821" "143887952"
"X" "Yoruba_noHGDP" "0.407302993690428" "0.000549260646179346" "0.543070658253904" "0.000732347528239128" "143424844" "143618518"
"X" "Mbuti_noHGDP" "0.382902453589511" "0.000513332963949109" "0.478628066986888" "0.000641666204936386" "143451892" "143644467"
"X" "Mandenka_noHGDP" "0.40624983135547" "0.000523414865282546" "0.541666441807294" "0.000697886487043394" "143636560" "143821861"
"X" "Karitiana_noHGDP" "0.38253689207318" "0.000241014631928423" "0.459044270487816" "0.000289217558314107" "143461698" "143552142"
"X" "DaiChinese_noHGDP" "0.34305495591519" "0.000353423103312677" "0.392062806760217" "0.000403912118071631" "143740029" "143888266"
